Symbol,Date,Open,High,Low,Close,Volume
AXU,23-Mar-2015,0.38,0.38,0.31,0.33,763600
AXU,24-Mar-2015,0.33,0.41,0.33,0.4,242400
AXU,25-Mar-2015,0.4,0.41,0.36,0.38,136100
AXU,26-Mar-2015,0.41,0.41,0.36,0.36,94600
AXU,27-Mar-2015,0.35,0.39,0.33,0.39,136400
AXU,30-Mar-2015,0.39,0.39,0.36,0.38,46100
AXU,31-Mar-2015,0.38,0.39,0.35,0.37,104000
AXU,01-Apr-2015,0.38,0.38,0.35,0.36,215500
AXU,02-Apr-2015,0.35,0.36,0.31,0.35,160400
AXU,03-Apr-2015,0.35,0.35,0.35,0.35,0
AXU,06-Apr-2015,0.35,0.37,0.35,0.36,170400
AXU,07-Apr-2015,0.37,0.37,0.35,0.36,60700
AXU,08-Apr-2015,0.36,0.36,0.35,0.35,44000
AXU,09-Apr-2015,0.35,0.36,0.35,0.35,24100
AXU,10-Apr-2015,0.36,0.36,0.34,0.35,122000
AXU,13-Apr-2015,0.35,0.35,0.35,0.35,61600
AXU,14-Apr-2015,0.35,0.38,0.35,0.37,97300
AXU,15-Apr-2015,0.36,0.38,0.35,0.38,175400
AXU,16-Apr-2015,0.38,0.41,0.37,0.37,472700
AXU,17-Apr-2015,0.37,0.38,0.36,0.37,141000
AXU,20-Apr-2015,0.38,0.41,0.37,0.37,357700
AXU,21-Apr-2015,0.39,0.39,0.37,0.37,193900
AXU,22-Apr-2015,0.38,0.39,0.36,0.37,101900
AXU,23-Apr-2015,0.37,0.39,0.37,0.39,162600
AXU,24-Apr-2015,0.39,0.4,0.37,0.37,73300
AXU,27-Apr-2015,0.38,0.42,0.38,0.4,166300
AXU,28-Apr-2015,0.39,0.44,0.39,0.44,263500
AXU,29-Apr-2015,0.44,0.44,0.4,0.41,287300
AXU,30-Apr-2015,0.42,0.43,0.4,0.41,241500
AXU,01-May-2015,0.42,0.43,0.42,0.42,52700
AXU,04-May-2015,0.42,0.43,0.4,0.4,177300
AXU,05-May-2015,0.41,0.42,0.41,0.42,53600
AXU,06-May-2015,0.42,0.43,0.4,0.41,57600
AXU,07-May-2015,0.41,0.42,0.4,0.4,70700
AXU,08-May-2015,0.4,0.41,0.4,0.4,46000
AXU,11-May-2015,0.41,0.41,0.37,0.38,200100
AXU,12-May-2015,0.39,0.4,0.38,0.39,117200
AXU,13-May-2015,0.4,0.42,0.38,0.4,156200
AXU,14-May-2015,0.42,0.43,0.4,0.42,167700
AXU,15-May-2015,0.42,0.5,0.42,0.47,608500
AXU,18-May-2015,0.47,0.55,0.47,0.5,341400
AXU,19-May-2015,0.5,0.52,0.45,0.51,220100
